,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),The Dazzling Lobcity Stars (3-10),.4759,.7313,37,126,65,26,6,55,362,2-7-0
JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),Old City Irony (8-5),.4495,.8397,32,157,112,35,15,56,498,4-5-0
JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),Team Rocket (8-5),.4817,.7130,37,191,90,27,24,53,461,5-4-0
JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),Nerlens Jazz (3-10),.5026,.8190,59,140,98,42,15,65,537,5-4-0
JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),Center City ABDs (5-8),.4274,.8241,30,147,89,30,18,61,419,4-5-0
JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),Mr Steal  Your Ball (4-7-2),.4653,.7342,40,174,60,31,24,50,406,4-4-1
JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),Players Only Meeting (8-4-1),.4394,.7692,47,148,58,31,26,56,465,4-4-1
JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),Da Bulter is in Town (7-5-1),.4286,.8364,29,131,73,25,5,40,303,5-4-0
JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),Too Easy (9-4),.4180,.8409,18,127,79,15,15,30,269,4-5-0
JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),Team Orbs (7-6),.4357,.7451,25,173,115,23,14,53,433,2-7-0
JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),The Real Power (7-6),.4605,.7669,44,183,109,34,20,62,496,7-2-0

,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),The Dazzling Lobcity Stars (3-10),.4531,.8438,11,49,45,3,6,20,154,6-3-0
JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),Da Bulter is in Town (7-5-1),.4898,.8000,13,33,16,11,3,27,133,3-6-0
JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),Nerlens Jazz (3-10),.4667,.7612,16,90,67,18,8,32,249,5-2-2
JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),Old City Irony (8-5),.4414,.6719,15,107,59,13,8,32,254,2-5-2
JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),Team Rocket (8-5),.4920,.8049,22,93,49,13,16,24,239,3-6-0
JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),Ithaca is Gorges (7-6),.4505,.8308,29,101,55,21,11,30,265,6-3-0
JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),Center City ABDs (5-8),.4863,.8462,24,65,51,16,13,19,246,5-3-1
JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),Mr Steal  Your Ball (4-7-2),.4378,.7447,24,86,42,27,14,40,235,3-5-1
JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),Players Only Meeting (8-4-1),.4728,.8406,32,86,35,26,15,23,316,8-1-0
JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),Team Orbs (7-6),.4211,.6780,11,81,57,12,4,39,195,1-8-0
JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),Too Easy (9-4),.4128,.7778,24,83,49,10,9,42,208,2-7-0
JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),The Real Power (7-6),.4503,.7547,21,109,59,20,13,34,233,7-2-0

,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),The Real Power (7-6),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),The Dazzling Lobcity Stars (3-10),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),Old City Irony (8-5),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),Ithaca is Gorges (7-6),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),Mr Steal  Your Ball (4-7-2),.0000,.0000,0,0,0,0,0,0,0,0-0-9
JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),Nerlens Jazz (3-10),.0000,.0000,0,0,0,0,0,0,0,0-0-9
